Time	Amp	Volt	AH	Temp_1		
2111	12.5	1.94	7.3	32.5	
2121	12.5	1.94	7.3	32.5	
2131	12.5	1.94	7.3	32.5	
2141	12.5	1.94	7.4	32.5	
2151	12.5	1.94	7.4	32.5	
2161	12.5	1.94	7.5	32.5	
2171	12.5	1.94	7.5	32.5	
2181	12.5	1.94	7.5	32.5	
2191	12.5	1.94	7.6	32.5	
2201	12.5	1.94	7.6	32	
2211	12.5	1.94	7.6	32.5	
2221	12.5	1.94	7.7	32.5	
2231	12.5	1.94	7.7	32.5	
2241	12.5	1.94	7.7	32.5	
2251	12.5	1.94	7.8	32.5	
2261	12.5	1.94	7.8	32.5	
2271	12.5	1.94	7.8	32.5	
2281	12.5	1.94	7.9	32.5	
2291	12.5	1.94	7.9	32.5	
2301	12.5	1.94	7.9	32.5	
2311	12.5	1.94	8	32.5	
2321	12.5	1.94	8	32.5	
2331	12.5	1.94	8	32.5	
2341	12.5	1.94	8.1	32.5	
2351	12.5	1.94	8.1	32.5	
2361	12.5	1.94	8.1	32.5	
2371	12.5	1.94	8.2	32.5	
2381	12.5	1.94	8.2	32.5	
2391	12.5	1.94	8.2	32.5	
2401	12.5	1.94	8.3	32.5	
2411	12.5	1.94	8.3	32.5	
2421	12.5	1.94	8.4	32.5	
2431	12.5	1.94	8.4	32.5	
2441	12.5	1.94	8.4	32.5	
2451	12.5	1.94	8.5	32	
2461	12.5	1.94	8.5	32.5	
2471	12.5	1.94	8.5	32	
2481	12.5	1.94	8.6	32.5	
2491	12.5	1.94	8.6	32.5	
2501	12.5	1.94	8.6	32.5	
2511	12.5	1.94	8.7	32.5	
2521	12.5	1.94	8.7	32.5	
2531	12.5	1.94	8.7	32.5	
2541	12.5	1.94	8.8	32.5	
2551	12.5	1.94	8.8	32.5	
2561	12.5	1.94	8.8	32.5	
2571	12.5	1.94	8.9	32.5	
2581	12.5	1.94	8.9	32.5	
2591	12.5	1.94	8.9	32.5	
2601	12.5	1.94	9	32.5	
2611	12.5	1.94	9	32.5	
2621	12.5	1.94	9	32.5	
2631	12.5	1.94	9.1	32.5	
2641	12.5	1.94	9.1	32.5	
2651	12.5	1.94	9.2	32.5	
2661	12.5	1.94	9.2	32.5	
2671	12.5	1.95	9.2	32.5	
2681	12.5	1.94	9.3	32.5	
2691	12.5	1.94	9.3	32.5	
2701	12.5	1.94	9.3	32.5	
2711	12.5	1.95	9.4	32.5	
2721	12.5	1.94	9.4	32.5	
2731	12.5	1.94	9.4	32.5	
2741	12.5	1.94	9.5	32.5	
2751	12.5	1.95	9.5	32.5	
2761	12.5	1.94	9.5	32.5	
2771	12.5	1.95	9.6	32.5	
2781	12.5	1.95	9.6	32.5	
2791	12.5	1.94	9.6	32.5	
2801	12.5	1.94	9.7	32.5	
2811	12.5	1.94	9.7	32.5	
2821	12.5	1.95	9.7	32.5	
2831	12.5	1.94	9.8	32.5	
2841	12.5	1.95	9.8	32.5	
2851	12.5	1.94	9.8	32.5	
2861	12.5	1.95	9.9	32.5	
